iter	Logloss
0	0.6873523792
1	0.6824235799
2	0.677270308
3	0.6720823343
4	0.668347882
5	0.6632198866
6	0.6578826235
7	0.6526401516
8	0.647938102
9	0.643022823
10	0.6384035942
11	0.633930681
12	0.6298440096
13	0.6261792385
14	0.621713301
15	0.6172169478
16	0.613494347
17	0.6097405227
18	0.6068718197
19	0.6030678446
20	0.5995868059
21	0.5957551149
22	0.5921005083
23	0.5881050239
24	0.585010188
25	0.5830936739
26	0.5799390198
27	0.5763372754
28	0.5730849883
29	0.5713288826
30	0.5684200902
31	0.5652686425
32	0.5620660949
33	0.5595165163
34	0.5563683755
35	0.5544321316
36	0.5513949409
37	0.548965521
38	0.5462395266
39	0.5438897883
40	0.540994516
41	0.5379387916
42	0.5352823091
43	0.5327538975
44	0.5307926581
45	0.528613347
46	0.5261811255
47	0.5243339794
48	0.5220265854
49	0.5200238644
50	0.5177281712
51	0.5159784964
52	0.5146224678
53	0.5127439153
54	0.5105897695
55	0.5085597152
56	0.5064820897
57	0.5049339868
58	0.5026371303
59	0.5016744981
60	0.5000835412
61	0.4983523103
62	0.4970173348
63	0.4951442344
64	0.4934111674
65	0.492619266
66	0.4910177171
67	0.4894404525
68	0.4879633693
69	0.4864612451
70	0.4850541969
71	0.4838752019
72	0.4819522605
73	0.4804947012
74	0.4796570602
75	0.4784724932
76	0.4768399549
77	0.4754654818
78	0.4744383879
79	0.4734798534
80	0.4725750478
81	0.4712253627
82	0.4701514655
83	0.4693790914
84	0.4682032446
85	0.4676886986
86	0.4664539745
87	0.4652112292
88	0.4641299568
89	0.46310985
90	0.4624960158
91	0.4614605193
92	0.4610141947
93	0.4598343196
94	0.4588330818
95	0.4577289329
96	0.4565143356
97	0.4559590296
98	0.4549681628
99	0.454468458
100	0.4533762465
101	0.452448526
102	0.4514592107
103	0.4505793721
104	0.4495857231
105	0.448722296
106	0.4478854598
107	0.4467412037
108	0.4460149574
109	0.4451336476
110	0.4442046125
111	0.4438296312
112	0.4434639724
113	0.4424759046
114	0.4417439544
115	0.4411225026
116	0.4403235567
117	0.4395125537
118	0.4389804705
119	0.4381546838
120	0.4376457053
121	0.4368527056
122	0.4362877375
123	0.4356563399
124	0.4349620191
125	0.4342376647
126	0.4336622339
127	0.4326992474
128	0.432359675
129	0.431734528
130	0.431102946
131	0.430488505
132	0.4300765393
133	0.4298683227
134	0.4291788886
135	0.4285144796
136	0.4282860366
137	0.4278357414
138	0.42743961
139	0.4267855787
140	0.4262246475
141	0.4257916521
142	0.4255416996
143	0.4249497248
144	0.4242779347
145	0.4236063671
146	0.4232452399
147	0.4229627814
148	0.4222905807
149	0.4216458598
150	0.4209589498
151	0.4202840736
152	0.4199945496
153	0.4196641802
154	0.4191120002
155	0.4188905034
156	0.4183519587
157	0.418030865
158	0.4175579332
159	0.4172492618
160	0.4167726382
161	0.4164491178
162	0.4160977578
163	0.4156678478
164	0.415143654
165	0.4146910336
166	0.4144096491
167	0.4142136787
168	0.4137486851
169	0.413642627
170	0.4131974698
171	0.4128686937
172	0.4124435539
173	0.4122702133
174	0.4118181868
175	0.4116598682
176	0.4113924397
177	0.4111946842
178	0.4107598109
179	0.4105306774
180	0.4102750504
181	0.4099457488
182	0.4095828362
183	0.4088909167
184	0.4085255697
185	0.4081752084
186	0.4078377165
187	0.4073968282
188	0.4069790668
189	0.4066121352
190	0.4061843621
191	0.4059662722
192	0.4056647794
193	0.4055243723
194	0.4053581342
195	0.4050388154
196	0.4047159359
197	0.4046567049
198	0.404188016
199	0.4039232375
200	0.4037251316
201	0.4034659575
202	0.4031274211
203	0.4029833939
204	0.4028947784
205	0.4023817144
206	0.4021682142
207	0.402085241
208	0.4019497019
209	0.4017330475
210	0.4016818359
211	0.4014725929
212	0.4012274264
213	0.4010969051
214	0.4010573036
215	0.4010129749
216	0.4007222624
217	0.4005144073
218	0.4001337981
219	0.3998566675
220	0.3996481629
221	0.3994475902
222	0.3991643233
223	0.3988868641
224	0.3985831088
225	0.3984189434
226	0.3983725799
227	0.3981636223
228	0.398064843
229	0.3978588984
230	0.3977448748
231	0.3975489876
232	0.3975096485
233	0.3971389154
234	0.3968004648
235	0.3965354487
236	0.3963660095
237	0.3962251954
238	0.3958703089
239	0.395591611
240	0.3953010743
241	0.3950742491
242	0.3948909186
243	0.3945187506
244	0.3943217884
245	0.3941405412
246	0.3939989188
247	0.3936536224
248	0.3934062499
249	0.3932905995
250	0.3929606253
251	0.3928298877
252	0.3925705521
253	0.3922956441
254	0.3921152704
255	0.3917989473
256	0.3916591437
257	0.3916508645
258	0.3914311441
259	0.3912294622
260	0.3908568432
261	0.3907399137
262	0.3906476506
263	0.3904369038
264	0.3902305044
265	0.3898560531
266	0.3897609399
267	0.3895440844
268	0.3894749325
269	0.3892449108
270	0.3890530707
271	0.3888054452
272	0.3884772241
273	0.3882118691
274	0.3879571264
275	0.3877008802
276	0.3875669031
277	0.3872703536
278	0.3871319404
279	0.3869955163
280	0.3867857519
281	0.3865540659
282	0.3864175885
283	0.3863698578
284	0.3863354977
285	0.3862236062
286	0.3861230274
287	0.3860733198
288	0.3859185242
289	0.3858875
290	0.3856941583
291	0.3854634055
292	0.3851873427
293	0.3849105547
294	0.3848699458
295	0.3847306315
296	0.3845265919
297	0.3843154812
298	0.3842958329
299	0.3842097766
300	0.3840426755
301	0.3839460195
302	0.3837945296
303	0.3835565835
304	0.3832342347
305	0.3831161971
306	0.3828362978
307	0.3826850966
308	0.3824504675
309	0.3822606303
310	0.3820773867
311	0.3819544913
312	0.3819361995
313	0.381736469
314	0.3816616361
315	0.3813986115
316	0.3813617681
317	0.3812052752
318	0.3810687117
319	0.3809698001
320	0.3806656899
321	0.3805030344
322	0.3802887093
323	0.3801017427
324	0.3799378234
325	0.3799229179
326	0.3797506037
327	0.3796757763
328	0.3795913955
329	0.3795049333
330	0.3793075951
331	0.3792387706
332	0.3791308998
333	0.3790392047
334	0.3789234204
335	0.378816133
336	0.378782526
337	0.378748141
338	0.3785733544
339	0.3784360211
340	0.3782846436
341	0.3781364603
342	0.3780238012
343	0.3779114828
344	0.3778378939
345	0.3777719162
346	0.3777527364
347	0.3776166486
348	0.3775547712
349	0.3773134913
350	0.3771132336
351	0.3769069958
352	0.3766305029
353	0.3764431711
354	0.3762407366
355	0.3761529363
356	0.3760852509
357	0.3759566027
358	0.3758898853
359	0.3757860763
360	0.3756484978
361	0.3754311792
362	0.3753137306
363	0.3752135572
364	0.3750990635
365	0.3749335076
366	0.3748487336
367	0.3748093058
368	0.3746203004
369	0.3743903354
370	0.374261809
371	0.3741371611
372	0.3740701475
373	0.3740151753
374	0.3738641799
375	0.3738149849
376	0.3736524552
377	0.3735255109
378	0.3735204241
379	0.3735072132
380	0.3733003832
381	0.3732019208
382	0.3729919295
383	0.3728197947
384	0.3727304966
385	0.3725862792
386	0.3725681589
387	0.3723910339
388	0.3721980397
389	0.3720328459
390	0.3719119329
391	0.3717649866
392	0.3716809314
393	0.371638148
394	0.3715484701
395	0.3714155065
396	0.3713674898
397	0.3712254077
398	0.3711677378
399	0.3709088745
400	0.3709024674
401	0.3708857658
402	0.3708802647
403	0.370718997
404	0.3707159909
405	0.3706585063
406	0.3704947044
407	0.3703568124
408	0.3702941729
409	0.3702218236
410	0.3701873153
411	0.3700322066
412	0.3699501382
413	0.3698445293
414	0.3696727286
415	0.3695015931
416	0.3694152628
417	0.369353215
418	0.369297335
419	0.3691279234
420	0.3690468307
421	0.3689356762
422	0.368929358
423	0.3687483027
424	0.3686434058
425	0.3685329141
426	0.3683813012
427	0.3683766624
428	0.3682989791
429	0.368269832
430	0.3681765384
431	0.3680552164
432	0.3679666008
433	0.3677946785
434	0.367716911
435	0.3676108722
436	0.3675124017
437	0.3673806794
438	0.3671491624
439	0.3671312379
440	0.3668990591
441	0.3667864538
442	0.3665650102
443	0.3664922453
444	0.3663604284
445	0.3663147114
446	0.366249211
447	0.3661498356
448	0.3661098698
449	0.3660684704
450	0.3659937542
451	0.3659139364
452	0.3659127735
453	0.3658618023
454	0.3657101282
455	0.3655209045
456	0.3654283782
457	0.365349823
458	0.3653493968
459	0.3652692587
460	0.365209012
461	0.3650215782
462	0.3649300407
463	0.3647739547
464	0.3646524137
465	0.3645090502
466	0.364342847
467	0.3643094507
468	0.364222958
469	0.3641076586
470	0.3639926753
471	0.3638671101
472	0.363864612
473	0.3637648104
474	0.3637287114
475	0.3636459462
476	0.363539895
477	0.363509307
478	0.3634157234
479	0.3633399842
480	0.3633236578
481	0.3632122171
482	0.3630947582
483	0.3630689717
484	0.363058997
485	0.3628782438
486	0.3627520762
487	0.3627504714
488	0.3626001429
489	0.3625981272
490	0.3624726556
491	0.3623366135
492	0.3623009958
493	0.3622308469
494	0.3622089425
495	0.3621574834
496	0.362130148
497	0.3620355211
498	0.3618660077
499	0.3617574029
500	0.3616741829
501	0.3616393895
502	0.3615246996
503	0.3614717526
504	0.3614007053
505	0.3612885281
506	0.3611819581
507	0.3611665133
508	0.3611641593
509	0.3610911061
510	0.3610610728
511	0.3609985357
512	0.3609715276
513	0.3609328281
514	0.3609172851
515	0.3608182464
516	0.3607449321
517	0.3606564528
518	0.3605872588
519	0.3605190078
520	0.3604392293
521	0.3603773448
522	0.3602685111
523	0.3602078049
524	0.3601957468
525	0.3601325664
526	0.3600753206
527	0.3599352241
528	0.3599313663
529	0.3598854891
530	0.3598747694
531	0.3598054884
532	0.3597232178
533	0.3596473623
534	0.3595929138
535	0.3594371066
536	0.3593805307
537	0.3592786454
538	0.3592600655
539	0.3591222918
540	0.3590027946
541	0.3589607099
542	0.3588080978
543	0.3586661496
544	0.3585436637
545	0.3585143514
546	0.3583895759
547	0.3583585756
548	0.358295969
549	0.3581708387
550	0.3580578045
551	0.3580491545
552	0.3579660239
553	0.3579659373
554	0.3579404123
555	0.3578290512
556	0.3577483263
557	0.357715526
558	0.3576535321
559	0.3575594145
560	0.357504303
561	0.3573609592
562	0.3573574258
563	0.3572256164
564	0.3571102874
565	0.3570633242
566	0.3569430347
567	0.3568788464
568	0.3567855833
569	0.3566627073
570	0.3566198661
571	0.3565731998
572	0.3564681904
573	0.356441106
574	0.3563648084
575	0.3563623285
576	0.3562624831
577	0.3562090186
578	0.3561337811
579	0.3560455447
580	0.3559954638
581	0.3559957743
582	0.3559470157
583	0.3559433914
584	0.3559006319
585	0.3558164895
586	0.3557557389
587	0.355749367
588	0.3556928261
589	0.3556895268
590	0.3556364579
591	0.3556039032
592	0.355547436
593	0.3554949968
594	0.355415028
595	0.3553304858
596	0.3552611984
597	0.3552278114
598	0.3552137459
599	0.3551408991
600	0.3550052825
601	0.3548569465
602	0.3548220615
603	0.354704813
604	0.3547046618
605	0.3546285923
606	0.3546088269
607	0.3544361433
608	0.3543849613
609	0.3543491373
610	0.3542559299
611	0.3541657776
612	0.3541209393
613	0.3540365677
614	0.3539529861
615	0.3539450241
616	0.3538534041
617	0.3537914519
618	0.3537737243
619	0.3537721926
620	0.3537239853
621	0.3536029403
622	0.3535996355
623	0.3534983849
624	0.353391349
625	0.3533090159
626	0.3532055289
627	0.3531403497
628	0.353046375
629	0.3529490268
630	0.3529216047
631	0.3528890747
632	0.3528455481
633	0.3528384696
634	0.352656026
635	0.3526397142
636	0.3526050973
637	0.3525357083
638	0.3525242365
639	0.3524641051
640	0.3524332278
641	0.3523369471
642	0.3522939548
643	0.3521670977
644	0.35211131
645	0.3520984329
646	0.3520370285
647	0.3519678217
648	0.3519039009
649	0.3518196264
650	0.3517557631
651	0.3516381291
652	0.3515957055
653	0.3515174164
654	0.3514621072
655	0.3513631556
656	0.3513298408
657	0.3512983496
658	0.3512608097
659	0.3511745549
660	0.3511285407
661	0.3510865881
662	0.3509697524
663	0.3509090648
664	0.3508752242
665	0.3508126155
666	0.3507440038
667	0.3506206719
668	0.3506093869
669	0.350501215
670	0.350456546
671	0.3503423826
672	0.3502542816
673	0.3502491997
674	0.3502212868
675	0.3502030941
676	0.3501445949
677	0.3500897933
678	0.350015014
679	0.3499757531
680	0.3498659005
681	0.3498025824
682	0.3497625487
683	0.349724362
684	0.349724439
685	0.3496023897
686	0.3494892353
687	0.349373319
688	0.3493014697
689	0.349239628
690	0.3491828537
691	0.3491501642
692	0.3490457525
693	0.348937395
694	0.3489023237
695	0.3488640105
696	0.3487854235
697	0.3487431385
698	0.3487358756
699	0.34869561
700	0.3486676427
701	0.3486027788
702	0.3485300411
703	0.3484657975
704	0.3484287464
705	0.3483070727
706	0.3482166926
707	0.3481072483
708	0.3480703677
709	0.3479651191
710	0.3479139231
711	0.3478905195
712	0.3478586377
713	0.3478219455
714	0.3477330707
715	0.3477295538
716	0.3476751951
717	0.3475904848
718	0.3475729184
719	0.3475338761
720	0.3474778829
721	0.3473774567
722	0.3473315066
723	0.3473047869
724	0.3472444649
725	0.3472253723
726	0.3471949214
727	0.3471397928
728	0.3471074973
729	0.3470561952
730	0.3470346879
731	0.3469894031
732	0.3469362658
733	0.3468855893
734	0.3468187756
735	0.3467624295
736	0.3466389766
737	0.3465615286
738	0.346414084
739	0.3463108434
740	0.3463106295
741	0.3462205777
742	0.3462036658
743	0.3461536525
744	0.3460854641
745	0.3460436572
746	0.3460108738
747	0.3459494306
748	0.345923606
749	0.3457940566
750	0.345699032
751	0.3456853914
752	0.345641321
753	0.3456319581
754	0.345598173
755	0.3455706628
756	0.3455701107
757	0.3455679623
758	0.3454600823
759	0.345376549
760	0.3453295188
761	0.3452604395
762	0.3452169552
763	0.3451628757
764	0.3451288625
765	0.3450865677
766	0.3450201312
767	0.3449923216
768	0.3449375116
769	0.3448647497
770	0.3447988069
